		fls					sls					
runname	id	nDCG@0005	D#nDCG@0005	I-rec@0005	runname	id	nDCG@0050	D#nDCG@0050	I-rec@0050			
FRDC-S-C-2A	15	0.6879	0.8348	1	FRDC-S-C-2A	15	0.4531	0.4824	0.5294	FRDC-S-C-2A	15	0.155555556
FRDC-S-C-2A	16	0.7705	0.585	0.4	FRDC-S-C-2A	16	0.0532	0.1064	0.1591	FRDC-S-C-2A	16	0.025
FRDC-S-C-2A	17	0.2572	0.2548	0.2	FRDC-S-C-2A	17	0	0	0	FRDC-S-C-2A	17	0
FRDC-S-C-2A	18	0.2671	0.3281	0.3333	FRDC-S-C-2A	18	0	0	0	FRDC-S-C-2A	18	0.2
FRDC-S-C-2A	19	0.4022	0.4483	0.5	FRDC-S-C-2A	19	0.1279	0.2008	0.2941	FRDC-S-C-2A	19	0
FRDC-S-C-2A	20	0	0	0	FRDC-S-C-2A	20	0.1576	0.2279	0.3	FRDC-S-C-2A	20	0.7
FRDC-S-C-2A	21	0.0271	0.183	0.3333	FRDC-S-C-2A	21	0.0539	0.1077	0.16	FRDC-S-C-2A	21	0.4
FRDC-S-C-2A	22	0	0	0	FRDC-S-C-2A	22	0.1061	0.1082	0.1111	FRDC-S-C-2A	22	0.7
FRDC-S-C-2A	23	0.4938	0.7539	1	FRDC-S-C-2A	23	0.2506	0.2188	0.1875	FRDC-S-C-2A	23	0.8
FRDC-S-C-2A	24	0	0	0	FRDC-S-C-2A	24	0.0194	0.0243	0.0286	FRDC-S-C-2A	24	0.1
FRDC-S-C-2A	25	0.3693	0.3217	0.2	FRDC-S-C-2A	25	0.2133	0.2435	0.2727	FRDC-S-C-2A	25	0.6
FRDC-S-C-2A	26	0.2265	0.2372	0.2	FRDC-S-C-2A	26	0.0383	0.0666	0.1	FRDC-S-C-2A	26	0.2
